,Decade,Year,Date,Time,Location,Operator,Op_Code,Route,AC Type,Make_Type,Aboard,Fatalities,Accident_Code,Summary
10,1911-1920,1916,10/01/1916,23:45,"Potters Bar, England",Military - German Navy,Military,Unknown,Zeppelin L-31 (airship),Zeppelin,19.0,19.0,War,Shot down in flames by the British 39th Home Defence Squadron.
11,1911-1920,1916,11/21/1916,15:00,"Mainz, Germany",Military - German Army,Military,Unknown,Super Zeppelin (airship),Super,28.0,27.0,Weather,Crashed in a storm.
12,1911-1920,1916,11/28/1916,23:45,"Off West Hartlepool, England",Military - German Navy,Military,Unknown,Zeppelin L-34 (airship),Zeppelin,20.0,20.0,War,Shot down by British anti-aircraft fire and aircraft and crashed into the North Sea.
13,1911-1920,1917,03/04/1917,15:00,"Near Gent, Belgium",Military - German Army,Military,Unknown,Airship,Airshi,20.0,20.0,Fire,Caught fire and crashed.
14,1911-1920,1917,03/30/1917,15:00,Off Northern Germany,Military - German Navy,Military,Unknown,Schutte-Lanz S-L-9 (airship),Schutte-Lanz,23.0,23.0,Weather,Struck by lightning and crashed into the Baltic Sea.
15,1911-1920,1917,05/14/1917,05:15,"Near Texel Island, North Sea",Military - German Navy,Military,Unknown,Zeppelin L-22 (airship),Zeppelin,21.0,21.0,War,"Crashed into the sea from an altitude of 3,000 ft. after being hit by British aircraft fire."
16,1911-1920,1917,06/14/1917,08:45,"Off Vlieland Island, North Sea",Military - German Navy,Military,Unknown,Zeppelin L-43 (airship),Zeppelin,24.0,24.0,War,Shot down by British aircraft.
17,1911-1920,1917,06/17/1917,15:00,"Near Yarmouth, England",Unknown,Others,Unknown,Zepplin LZ-95 (air ship),Zepplin,16.0,14.0,War,Shot down by aircraft.
18,1911-1920,1917,08/21/1917,07:00,Off western Denmark,Military - German Navy,Military,Unknown,Zeppelin L-23 (airship),Zeppelin,18.0,18.0,War,Shot down by British aircraft.
19,1911-1920,1917,10/20/1917,07:45,"Near Luneville, France",Military - German Navy,Military,Unknown,Zeppelin L-44 (airship),Zeppelin,18.0,18.0,War,Shot down by French anti-aircraft fire.
20,1911-1920,1918,04/07/1918,21:30,Over the Mediterranean,Military - German Navy,Military,Unknown,Zeppelin L-59 (airship),Zeppelin,23.0,23.0,War,Exploded and crashed into the sea off the southern coast of Italy.
21,1911-1920,1918,05/10/1918,15:00,"Off Helgoland Island, Germany",Military - German Navy,Military,Unknown,Zeppelin L-70 (airship),Zeppelin,22.0,22.0,War,"Shot down by British aircraft crashing from a height of 17,000 ft."
22,1911-1920,1918,08/11/1918,10:00,"Ameland Island, North Sea",Military - German Navy,Military,Unknown,Zeppelin L-53 (airship),Zeppelin,19.0,19.0,War,Shot down by british aircraft.
23,1911-1920,1918,12/16/1918,15:00,"Elizabeth, New Jersey",US Aerial Mail Service,Others,Unknown,De Havilland DH-4,De,1.0,1.0,Landing/Takeoff,Carl Smith was killed when his mail plane feet 500 feet while attempting to land. He tried to reposition the aircraft after the wind shifted and lost control of the plane and dived into the ground.
24,1911-1920,1919,05/25/1919,15:00,"Cleveland, Ohio",US Aerial Mail Service,Others,Unknown,De Havilland DH-4,De,1.0,1.0,Fire,Caught fire in midair. The pilot leaped from the plane to his death as the plane began to go into a dive.
25,1911-1920,1919,07/19/1919,15:00,"Dix Run, Pennsylvania",US Aerial Mail Service,Others,Unknown,De Havilland DH-4,De,1.0,1.0,Unknown,The mail plane crashed under unknown circumstances.
26,1911-1920,1919,07/21/1919,16:55,"Chicago, Illinois",Wingfoot Air Express Goodyear Tire,Passenger,Shuttle,FD Type Dirigible,FD,3.0,3.0,War," The dirigible, cruising at 1,200 ft. caught fire and crashed into the Illinois Trust and Savings Building in Chicago. The was transporting people from Grant Park to the White City amusement park.[1] One crew member, two passengers, and ten bank employees were killed"
27,1911-1920,1919,08/02/1919,15:00,"Verona, Italy",Caproni Company,Passenger,Venice  Taliedo,Caproni Ca.48,Caproni,14.0,14.0,Unknown,As the plane was passing over Verona the wings began to flutter and then collapsed and crashed. Sources differ as to the number of deaths with some reporting 15 or 17.
28,1911-1920,1919,10/02/1919,15:00,"Newcastle, England",Aircraft Transport and Travel,Passenger,Unknown,De Havilland DH-4,De,1.0,1.0,Unknown,Unknown
29,1911-1920,1919,10/14/1919,15:00,"Cantonsville, Maryland",US Aerial Mail Service,Others,Unknown,Curtiss R-4LM,Curtiss,1.0,1.0,War,"The pilot was performing a mail flight to Baltimore. While on final approach, in fog, the aircraft hit tree tops and crashed into the woods."
30,1911-1920,1919,10/20/1919,15:00,"English Channel off Forkstone, Kent",Aircraft Transport and Travel,Passenger,Unknown,De Havilland DH-4,De,0.0,0.0,Landing/Takeoff,Crashed into the sea while attempting to land in fog.
31,1911-1920,1919,10/30/1919,15:00,"Long Valley, New Jersey",US Aerial Mail Service,Others,Unknown,De Havilland DH.4,De,1.0,1.0,War,"While on a mail flight to New York the pilot encountered bad weather conditions and reduced his altitude to maintain a visual contact with the ground. Eventually, he decided to make an emergency landing in Long Valley, west of Newark. Aircraft hit the ground and crashed."
32,1911-1920,1919,12/11/1919,15:00,"Catherham, Surrey, UK",Aircraft Travel Transport,Passenger,Paris - Hounslow,de Havilland DH-4,de,1.0,1.0,Landing/Takeoff,Crashed in a field while attemptting to land.
33,1911-1920,1920,03/10/1920,15:00,"New Paris, Indiana",US Aerial Mail Service,Others,Unknown,De Havilland DH-4,De,1.0,1.0,War,"While on a a mail flight, the aircraft hit trees in fog and crashed in a wooded area."
34,1911-1920,1920,03/30/1920,15:00,"Newark, New Jersey",US Aerial Mail Service,Others,Washington - Newark,De Havilland DH-4,De,1.0,1.0,Landing/Takeoff,George Sherlock was killed when his mail plane crashed into a chimney while attempting to land at Heller Field in poor visibility.
35,1911-1920,1920,04/10/1920,15:00,"Newark, New Jersey",US Aerial Mail Service,Others,Unknown,Curtiss R-4LM,Curtiss,2.0,1.0,Fire,After a fire erupted in flight the pilot decided to make an emergency landing but the aircraft crashed.
36,1911-1920,1920,04/11/1920,15:00,"Heller Field, New Jersey",US Aerial Mail Service,Others,Unknown,Curtiss JN-4H,Curtiss,2.0,1.0,Unknown,The aircraft crashed while on approach for unknown reasons.
37,1911-1920,1920,05/12/1920,15:00,"Oskaloosa, Iowa",US Aerial Mail Service,Others,Unknown,De Havilland DH-4,De,2.0,1.0,Weather,"In worsening weather conditions, the pilot lost his sense of orientation and crashed in a field."
38,1911-1920,1920,06/06/1920,15:00,"Cleveland, Ohio",US Aerial Mail Service,Others,Unknown,De Havilland DH-4,De,1.0,1.0,Machine Issue,The aircraft suffered engine failure and crashed shortly after taking off.
39,1911-1920,1920,07/20/1920,15:00,"Cartagena, Columbia",Compañia Colombiana de Navegación Aérea,Passenger,Unknown,Farman F-40,Farman,1.0,1.0,Machine Issue,Crashed while taking off after engine failure. Engine failure due to fuel exhaustion.
40,1911-1920,1920,08/16/1920,15:00,"Bedford, England",By Air,Passenger,Unknown,Armstrong-Whitworth F-K-8,Armstrong-Whitworth,1.0,1.0,Unknown,The plane crashed during a cargo flight under unknown circumstances.
41,1911-1920,1920,08/16/1920,15:00,"College Park, Maryland",US Aerial Mail Service,Others,Unknown,De Havilland DH-4,De,1.0,1.0,War,"While approaching in poor visibility to land, the plane hit a radio mast and crashed in flames."
42,1911-1920,1920,09/01/1920,15:00,"Morristown, New Jersey",US Aerial Mail Service,Others,Unknown,Junkers JL-6,Junkers,2.0,2.0,Fire,"While en route, the mail plane went out of control and crashed after experiencing an in flight fire."
43,1911-1920,1920,09/15/1920,15:00,"Pemberville, Ohio",US Aerial Mail Service,Others,Unknown,Junkers F-13,Junkers,2.0,2.0,Fire,The pilot crashed after attempting to make an emergency landing after the engine caught fire.
44,1911-1920,1920,09/27/1920,15:00,"Hillersburg, Pennsylvania",US Aerial Mail Service,Others,Unknown,De Havilland DH-4,De,1.0,1.0,Unknown,The plane struck power lines and crashed in flames after flying at a low altitude in poor visibility.
45,1911-1920,1920,10/02/1920,15:00,"Off Port Vendres, France",Latecoere Airlines,Passenger,Unknown,Salmson 2-A-2,Salmson,2.0,2.0,Unknown,Crashed into the Mediterranean while on a mail flight.
46,1911-1920,1920,10/05/1920,15:00,"Valencia, Spain",Latecoere Airlines,Passenger,Unknown,Breguet 14,Breguet,2.0,2.0,Landing/Takeoff,While on a mail flight the plane crashed while attempting to land.
47,1911-1920,1920,10/15/1920,15:00,"Batavia, Illinois",US Aerial Mail Service,Others,Unknown,De Havilland DH-4,De,1.0,1.0,War,While attempting to land in fog the aircraft hit an obstruction and crashed.
48,1911-1920,1920,11/07/1920,15:00,"Tie Siding, Wyoming",US Aerial Mail Service,Others,Unknown,De Havilland DH-4,De,1.0,1.0,Weather,The aircraft crashed into a mountain in poor weather condtions.
49,1911-1920,1920,12/14/1920,12:15,"London, England",Handley Page Transport,Passenger,London - Paris,Handley Page HP-16,Handley,8.0,4.0,Human Error,The plane failed to gain altitude after taking off from Criclklewood and crashed into a tree and a house. Pilot error in taking off towards a hill in unfavorable wind conditions and fog.The first commercial air disaster to result in passenger fatalities during a regularly scheduled service..
50,1911-1920,1920,12/24/1920,15:00,"Barcelona, Spain",Aeropostale,Passenger,Unknown,Breguet 14,Breguet,1.0,1.0,Machine Issue,The aircraft stalled and crashed when an engine failed.
51,1921-1930,1921,02/03/1921,15:00,"Mendotta, Minnisota",US Aerial Mail Service,Others,Unknown,De Havilland DH-4,De,1.0,1.0,Machine Issue,Shortly after takeoff from Minneapolis-World Chamberlain Field the engine failed. The aircraft lost altitude and crashed  in a field.
52,1921-1930,1921,02/09/1921,15:00,"La Crosse, Wisconsin",US Aerial Mail Service,Others,Unknown,Junkers F-13,Junkers,3.0,3.0,Unknown,Crashed for unknown reasons. Both pilots and the mechanic were killed.
53,1921-1930,1921,02/15/1921,15:00,Off Gibraltar,Aeropostale,Passenger,Unknown,Breguet 14,Breguet,2.0,2.0,Weather,The mail fligh encountered poor weather conditions and crashed into the ocean while on approach to Gibraltar. The bodies of the crew were never recovered.
54,1921-1930,1921,02/22/1921,15:00,"Elko, Nevada",US Aerial Mail Service,Others,Unknown,De Havilland DH-4,De,1.0,1.0,Unknown,"Shortly after taking off, the aircraft stalled and crashed ."
55,1921-1930,1921,04/06/1921,15:00,"Point Cook, Australia",Military - Royal Australian Air Force,Military,Unknown,  	 Avro 504,,2.0,2.0,War,"Shortly after taking off on a training flight, the aircraft dove into the ground and exploded in flames."
56,1921-1930,1921,04/21/1921,15:00,"Mitchel Field, NY",US Aerial Mail Service,Others,Unknown,De Havilland DH-4,De,1.0,1.0,Unknown,After taking off the aircraft stalled and crashed.
57,1921-1930,1921,04/29/1921,15:00,"Cleveland, Ohio",US Aerial Mail Service,Others,Unknown,De Havilland DH-4,De,1.0,1.0,Landing/Takeoff,"The aircraft crashed in a field, short of the runway, a few minutes before its scheduled arrival in Cleveland. The weather was poor with fog."
58,1921-1930,1921,05/17/1921,15:00,"Rock Springs, Wyoming",US Aerial Mail Service,Others,Unknown,De Havilland DH-4 De Havilland DH-4,De,1.0,1.0,Landing/Takeoff,Crashed while attempting to land.
59,1921-1930,1921,08/14/1921,15:00,"Toulouse, France",Aeropostale,Passenger,Unknown,Breguet 14,Breguet,2.0,2.0,Unknown,Unknown
60,1921-1930,1921,08/24/1921,17:40,"River Humber, England",Military - Royal Airship Works,Military,Unknown,Royal Airship Works ZR-2 (airship),Royal,46.0,46.0,Fire,Crashed due to structural failure followed by two explosions and a fire. Attributed to faulty design.
61,1921-1930,1921,09/06/1921,15:00,"Paris, France",Franco-Roumaine,Passenger,Warsaw - Prague - Strasbourg - Paris,Potez IX,Potez,5.0,5.0,Landing/Takeoff,Crashed while making an approach to Le Bourget Airport in Paris. Pilot aborted the landing due to another aircraft on the runway.
62,1921-1930,1921,12/05/1921,15:00,"Near Murchinson River, Australia",West Australian Airways,Passenger,Geraldton - Derby,Bristol 28 Tourer,Bristol,2.0,2.0,Unknown,On approach to Geraldton the plane crashed near the Murchinson River. Considered the first commercial flight in Australila.
63,1921-1930,1922,01/14/1922,15:00,"Paris, France",Handley Page Transport,Passenger,Unknown,Handley Page O/10,Handley,5.0,5.0,Unknown,Crashed at Le Bourget field.
64,1921-1930,1922,02/21/1922,15:00,"Near Norfolk, Virginia",Military - U.S. Army Air Service,Military,Unknown,Dirigible Roma (airship),Dirigible,45.0,34.0,Machine Issue,Crashed from a height of 500 ft. after experiencing control problems cause by malfunctioning controls.
65,1921-1930,1922,03/22/1922,11:40,North Atlantic Ocean,Aero Limited,Passenger,Miami - Bimini,Aeromarine Model 85 (flying boat),Aeromarine,6.0,5.0,Unknown,"The plane ditched into the ocean about 40 miles East of Florida after a propeller blade broke. Only the pilot survived, being picked up over 2 days later. The flying boat was named Miss Miami."
66,1921-1930,1922,04/07/1922,13:15,"Grandvilliers, France",Daimler Airways / Grands Express Aeriens,Passenger,Croydon - Le Bourget,de Havilland DH-18 / Farman F-60 Goliath,de,7.0,7.0,Landing/Takeoff,"A midair collision occurred at 400 ft. in poor visibility approximately 18 miles north of Beauvais, France. The pilots of both planes were using the road as a route marker in bad weather and poor visibility. This was the  first commercial midair collision in aviation history. Two killed on the de Havilland, five on the Faman F-60."
67,1921-1930,1922,04/08/1922,15:00,"Pao Ting Fou, China",Unknown,Others,Test,Unknown,na,17.0,17.0,Unknown,Aboard were all workers taking part in a flight test. All seventeen aboard were Chinese nationals.
68,1921-1930,1922,06/03/1922,15:00,"Off Folkestone, Kent, England",Cie des Messageries Aeriennes,Passenger,Croydon - Paris,Bleriot Spad 27,Bleriot,3.0,3.0,Unknown,Went down into the English Channel while en route.
69,1921-1930,1922,07/04/1922,15:00,"Fuhlsbuttel, Germany",Unknown,Others,Hamburg - Berlin,LVG C VI,LVG,3.0,2.0,Machine Issue,"The passenger/mail plane lost it's engine while taking off and crashed into trees. Actress Fern Andra survived the accident but her director, Georg Bluen did not. The pilot, Lothar von Richthofen, was also killed. He was a World War I ace and brother of Manfred von Richthofen (The Red Baron)."
70,1921-1930,1922,07/16/1922,16:45,"Near Saverne, Lorraine, France",Compagnie Franco-Roumaine de Navigaation Aerienne,Passenger,Strasbourg - Paris,Potez 29,Potez,5.0,5.0,Landing/Takeoff,Lost an engine and could not make an emergency landing because of gusty winds. Stalled while making a turn and crashed.
71,1921-1930,1922,07/26/1922,15:00,"Cadix, Spain",Grands Express Aeriens,Passenger,Unknown,Breguet 14,Breguet,3.0,3.0,War,"While attempting to make an emergency landing due to engine problems, the aircraft hit telephone lines and crashed."
72,1921-1930,1922,09/07/1922,15:00,"Indianapolis, Indiana",US Aerial Mail Service,Others,Unknown,De Havilland DH-4,De,1.0,1.0,Unknown,The plane stalled shortly after takeoff and crashed.
73,1921-1930,1922,10/02/1922,15:00,"Venice, Italy",de Havilland Air Service,Passenger,Venice - London,de Havilland DH-9,de,4.0,4.0,Unknown,Shortly after taking off the plane crashed into the sea and sank.
74,1921-1930,1922,10/25/1922,15:00,"Larache, Morocco",Grands Express Aeriens,Passenger,Unknown,Breguet 14,Breguet,2.0,2.0,Unknown,Crashed under unknown circumstances.
75,1921-1930,1922,12/03/1922,15:00,"Fez, Morocco",Grands Express Aeriens,Passenger,Toulouse - Barcelona - Valencia - Alicante - Malaga - Rabat,Breguet 14,Breguet,1.0,1.0,Weather,While flying in foggy conditions the pilot reduced altitude and crashed into a hill.
76,1921-1930,1923,01/10/1923,15:00,"Ajaccio, France",Amee de l'Air,Passenger,Unknown,Lioré-et-Olivier H-13,Lioré-et-Olivier,4.0,3.0,Machine Issue,The plane crashed mid-air due to a structural failure of the tail.
77,1921-1930,1923,01/17/1923,15:00,"Barcelona, Spain",Grands Express Aeriens,Passenger,Unknown,Breguet 14,Breguet,1.0,1.0,Weather,Crashed into a mountain during a snowstorm.
78,1921-1930,1923,01/18/1923,15:00,"Cheyenne, Wyoming",US Aerial Mail Service,Others,Unknown,De Havilland DH-4,De,1.0,1.0,Unknown,Crashed during a mail flight.
79,1921-1930,1923,02/26/1923,15:00,"Meadville, Pennsylvania",US Aerial Mail Service,Others,Unknown,De Havilland DH-4,De,1.0,1.0,Weather,The pilot lost control of the aircraft  while on approach in poor weather conditions.
80,1921-1930,1923,05/14/1923,13:42,"Near Amiens, Picrdie, France",Grands Express Aeriens (Air Union),Passenger,Paris - London,Farman F-60 Goliath,Farman,6.0,6.0,Fire,"Broke-up in mid air after suffering structural failure at 3,000 ft. after a onboard fire weakened the plane's structure losing a wing. Possibly started by a passenger discarding a match after lighting a cigarette."
81,1921-1930,1923,08/27/1923,17:30,"East Mallling, United Kingdom",Air Union,Passenger,Paris - Berck-sur-Mer - Croydon,Farman F.60 Goliath,Farman,11.0,1.0,Landing/Takeoff,"The aircraft lost an engine about 45 minutes into the flight. As the plane was incapable of maintaining level flight with only one engine operating, the pilot decided to make an emergency landing. He asked the mechanic to ask two passengers to move towards the rear of the aircraft. This instruction was apparently misunderstood by the passengers, as four of them moved towards the rear of the aircraft. This affected the center of gravity of the aircraft, which then entered into a spin and crashed."
82,1921-1930,1923,08/27/1923,15:00,"Bucharest, Romania",Campagnie France Roumaine,Passenger,Unknown,Blériot Spad 46,Blériot,2.0,2.0,Unknown,Crashed while on approach to Bucharesst.
83,1921-1930,1923,09/07/1923,15:00,"Colton, Ohio",US Aerial Mail Service,Others,Unknown,De Havilland DH-4,De,1.0,1.0,Landing/Takeoff,Crashed during an emergency landing attempt.
84,1921-1930,1923,09/14/1923,18:00,"Near Ivinghoe, Buckinghamshire, England",Daimler Airways,Passenger,Croydon - Manchester,de Havilland DH-34,de,5.0,5.0,Landing/Takeoff,Crashed while attempting a forced landing after encountering heavy rain.
85,1921-1930,1923,11/18/1923,15:00,Russia,CCCP,Passenger,Unknown,Junkers F-13,Junkers,5.0,3.0,Weather,Crashed during a training flight.
86,1921-1930,1923,12/06/1923,15:00,"Castalia, Ohio",US Aerial Mail Service,Others,Unknown,De Havilland DH-4,De,1.0,1.0,Unknown,Crashed under unknown circumstances.
87,1921-1930,1923,12/23/1923,02:30,Over the Mediterranean Sea,Military - French Navy,Military,Toulon - Algiers,Zeppelin Dixmunde (airship),Zeppelin,52.0,52.0,Weather,"Crashed while on a flight from Toulon, France to Algiers, Algeria.  The last known radio contact reported the ship nearly out of fuel and battling strong winds.  Struck by lightning."
88,1921-1930,1923,12/24/1923,15:00,"Egbert, WY",US Aerial Mail Service,Others,Unknown,De Havilland DH-4,De,1.0,1.0,Weather,Crashed into a montain in poor weather conditions.
89,1921-1930,1924,03/07/1924,15:00,"Grampian, Pennsylvania",US Aerial Mail Service,Others,Unknown,De Havilland DH-4,De,1.0,1.0,Weather,Crashed during a snowstorm.
90,1921-1930,1924,04/24/1924,15:00,Over the English Channel,KLM Royal Dutch Airlines,Passenger,"Lympne, England - Rotterdam, The Netherlands",Fokker F.III,Fokker,3.0,3.0,Unknown,The aircraft disappeared over the North Sea. The plane and passengers were never found.
91,1921-1930,1924,06/08/1924,15:00,"Barranquilla, Colombia",SCADTA,Passenger,Barranquilla - Bogota,Junkers F-13,Junkers,5.0,5.0,Unknown,Stalled after taking off and crashed into houses..
92,1921-1930,1924,08/01/1924,15:00,United States,US Aerial Mail Service,Others,Unknown,De Havilland DH-4,De,1.0,1.0,Unknown,"The pliot made a low pass in honor of another pilot who had died, stalled and cashed."
93,1921-1930,1924,11/06/1924,15:00,"Cabrerolles, France",Grands Express Aeriens,Passenger,Unknown,Breguet 14,Breguet,1.0,1.0,Weather,"While en route the pilot encountered thunderstorms, lost control and crashed."
94,1921-1930,1924,12/21/1924,15:00,"Goshen, Indiana",US Aerial Mail Service,Others,Unknown,De Havilland DH-4,De,1.0,1.0,Weather,"Lost in a snowstorm, the pilot decided to bail out of the plane but was killed."
95,1921-1930,1924,12/24/1924,12:00,"Purley, England",Imperial Airways,Passenger,London - Paris,de Havilland DH-34B,de,8.0,8.0,War,"Shortly after taking off, witnesses observed a puff of white smoke after which the plane nose-dived into the ground. Crashed due to an unknown mechanical failure and subsiquent stall. Captain Stewart and seven passengers were killed in an attempted forced landing."
96,1921-1930,1925,03/22/1925,15:00,"Near Tiflis, Georgia, USSR",Zakavia,Passenger,Tiflis - Suchumi,Junkers F-13,Junkers,5.0,5.0,Landing/Takeoff,Shortly after take off the plane went out of control and crashed in flames.
97,1921-1930,1925,04/25/1925,15:00,"Alicante, Spain",Grands Express Aeriens,Passenger,Alicante - Barcelona - Toulouse,Breguet 14,Breguet,3.0,3.0,War,"Shortly after takeoff, while flying at a low altitude, in poor visibility, the, aircraft hit a lightning rod, stalled and crashed."
98,1921-1930,1925,06/25/1925,15:00,"Landrécies, France",KLM Royal Dutch Airlines,Passenger,Amsterdam - Paris,Fokker (KLM)  F.III,Fokker,4.0,4.0,Weather,"While in a turn in bad weather, the right wing struck trees and the plane crashed. Failure of an aileron in flight."
99,1921-1930,1925,06/26/1925,15:00,"Alicante, Spain",Grands Express Aeriens,Passenger,Oran - Alicante,Lioré-et-Olivier LeO H-13,Lioré-et-Olivier,2.0,2.0,War,While attempting to land the seaplane hit a lightning mast and crashed.
100,1921-1930,1925,07/20/1925,15:00,"Rosas, Spain",Lignes Aeriennes Latecoere,Passenger,Toulouse - Barcelona,Breguet 14,Breguet,1.0,1.0,Unknown,Crashed in unknown circumstance.
101,1921-1930,1925,07/24/1925,15:00,"Budapest, Hungary",CIDNA,Passenger,Unknown,Potez IX,Potez,1.0,1.0,Landing/Takeoff,Crashed while attempting to land 10 km from the airport
102,1921-1930,1925,09/03/1925,05:30,"Caldwell, Ohio",Military - U.S. Navy,Military,"Lakehurst, NJ - S.t Louis, MO",Dirigible ZR-1 Shenandoah (airship),Dirigible,43.0,14.0,Machine Issue,"The Shenandoah was flying over Southern Ohio when she abruptly encountered violent atmospheric conditions (thunderstorms). Powerful air currents buffeted her so severely that her crew was unable to maintain control. Rising rapidly above her pressure height, then falling and rising again, her hull structure was overstressed amidships, breaking the airship in two. Shenandoah's external control car and two engine cars fell free, carrying the dirigible's commanding officer and several other men to their deaths. The stern section came down nearby, while several men were able to fly the bow section to ground as a free balloon."
103,1921-1930,1925,09/07/1925,15:00,"Toul, France",CIDNA,Passenger,Unknown,Spad 33,Spad,3.0,23.0,Unknown,Unknown
104,1921-1930,1925,10/01/1925,15:00,"Mt. Nittany, Ohio",US Aerial Mail Service,Others,New York - San Francisco,De Havilland DH-4,De,1.0,1.0,Weather,Crashed into a wooded area on Mt. Nittany in fog and low visibility.
105,1921-1930,1925,11/14/1925,15:00,"Nouadhibou, Mauritania",Lignes Aeriennes Latecoere,Passenger,Unknown,Breguet 14,Breguet,1.0,1.0,Unknown,The pilot suffered sunstroke lost control of the plane and crashed.
106,1921-1930,1925,11/14/1925,15:00,"Off Boulogne-sur-Mer, France",Air Union,Passenger,Unknown,Farman F-60 Goliath,Farman,2.0,2.0,Unknown,Unknown
107,1921-1930,1926,02/12/1926,15:00,"Montpelier, Ohio",US Aerial Mail Service,Others,Unknown,Curtiss Carrier Pigeon,Curtiss,1.0,1.0,War,"While the mail plane was flying at a low altitude, the  aircraft hit trees and crashed in a wooded area."
108,1921-1930,1926,03/08/1926,15:00,"Staaken, Germany",Deutche Lufthansa,Passenger,Unknown,Junkers F-13,Junkers,1.0,1.0,Landing/Takeoff,While in a training filight the aircraft stalled and crashed while attempting to land.
109,1921-1930,1926,05/31/1926,15:00,English Channel,Air Union,Passenger,Paris - Cryodon,Breguet 14,Breguet,1.0,1.0,Unknown,The mail plane crashed into the English Channel and was never found.
110,1921-1930,1926,07/03/1926,15:00,"Rossaugpt, Czechoslovakia",Compagnie Internationale de Navigation Aérienne,Passenger,Paris - Prague - Budapest,Caudron C-61,Caudron,6.0,6.0,Weather,Crashed while en route into a mountain in adverse weather conditions. The pilot was flying at too low of an altitude.
111,1921-1930,1926,07/09/1926,09:30,"Wolvertem, Belgium",KLM Royal Dutch Airlines,Passenger,Amsterdam - Rotterdam - Brussels - Paris,Fokker F7,Fokker,2.0,2.0,Weather,Crashed into the ground while descending in poor weather.
112,1921-1930,1926,07/24/1926,15:00,"Juist, Germany",Deutsche Lufthansa,Passenger,Unknown,Junkers F-13,Junkers,5.0,5.0,Weather,Crashed under weather related.circumstances.
113,1921-1930,1926,08/18/1926,15:00,"Hurst, Kent, England",Air Union,Passenger,"Lebourget, France - Croydon, England",Bleriot 155,Bleriot,15.0,3.0,Landing/Takeoff,The plane made a forced landing at Romney Marsh  in heavy fog.  Engine failure. The pilot initally survived but died a day later.
114,1921-1930,1926,09/26/1926,15:00,"New York, New York",Unknown,Others,New York - Paris,Sikorsky S-25,Sikorsky,5.0,2.0,Human Error,Too much weight caused the landing gear to collapse as the plane took off for Paris on the first trans-Atlantic passenger flight.
115,1921-1930,1926,10/02/1926,15:27,"Leigh, Kent, Unied Kingdom",Air Union,Passenger,Paris - London,Bleriot 155,Bleriot,7.0,7.0,Fire,"After an engine fire, the pilot attempts to make an emergency landing at Penshurst Airfield but crashed.."
